Policy                   , step, provider  , model              , used_fallback, reason                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , operator_instruction                                          , lambda_delay        , lambda_migration  , lambda_resource    , lambda_balance      , migrate_threshold, cooldown_steps
llm_cost_aware_openrouter,   51, openrouter, openai/gpt-5.4-mini, False        , 近期迁移率很低且平均迁移次数很少，但时延与失败分配率偏高，说明当前应以抑制频繁迁移、保持稳定为主，同时适度加强资源约束。考虑到运维指令强调网络波动下优先稳定，我提高了lambda_migration并小幅提升lambda_resource/lambda_delay；max_node_load接近饱和但总体迁移空间不宜被过度压缩，因此阈值仅小幅上调，cooldown_steps保持不变，避免在高冷却占比下进一步抑制必要调整。                                                                                                                                                             , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.03964757709251101 , 0.7224669603524229, 0.19383259911894274, 0.04405286343612335 ,             0.82 ,             14
llm_cost_aware_openrouter,   56, openrouter, openai/gpt-5.4-mini, False        , 近期平均时延偏高且失败分配率较高，说明资源压力存在，但当前迁移率较低、每用户迁移次数不高，结合运维指令要求优先抑制频繁迁移与保持稳定，因此本次主要增强迁移抑制与稳定性：提高lambda_migration，同时适度提高lambda_resource和lambda_balance以缓解拥塞与负载不均。考虑到users_in_cooldown_ratio已达0.2且近期迁移并不异常，不再上调cooldown_steps；migrate_threshold仅小幅上调以避免过度迁移。整体策略偏向保持系统有序稳定，避免频繁抖动。                                                                                          , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.025974025974025976, 0.7305194805194806, 0.1948051948051948 , 0.0487012987012987  ,             0.88 ,             14
llm_cost_aware_openrouter,   61, openrouter, openai/gpt-5.4-mini, False        , 近期平均时延偏高且失败分配率较高，但当前迁移率与每用户平均迁移次数均为0，说明系统并非迁移过频，而是应优先抑制波动、保持稳定；同时用户冷却占比已存在，不宜再激进降低抑制。结合运维指令强调减少频繁迁移，本次提高lambda_migration并小幅上调阈值与冷却时间，增强迁移抑制；对lambda_resource略降但仍保留一定权重以应对失败分配，lambda_balance小幅调整以维持基本均衡，整体策略偏向稳定优先。                                                                                                                                        , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.019382192610539067, 0.7837674136886734, 0.15748031496062992, 0.03937007874015748 ,             0.92 ,             16
llm_cost_aware_openrouter,   66, openrouter, openai/gpt-5.4-mini, False        , 近期平均时延较高且失败分配率偏高，但当前迁移率与每用户迁移次数均为0，说明系统更需要稳定而非进一步收紧迁移抑制。结合运维指令强调抑制频繁迁移，本次上调lambda_migration以保持有序，同时适度提高lambda_delay与lambda_resource，兼顾时延和资源压力；节点负载最大值接近满载且存在明显负载不均衡，因此小幅提高lambda_balance。由于users_in_cooldown_ratio为0且迁移本就不活跃，不继续提高cooldown_steps；migrate_threshold仅小幅上调，以保持稳定但不显著阻塞必要迁移。                                                                 , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.021428571428571425, 0.75              , 0.1714285714285714 , 0.05714285714285714 ,             0.95 ,             16
llm_cost_aware_openrouter,   71, openrouter, openai/gpt-5.4-mini, False        , 当前avg_delay_recent较高且failed_allocation_rate_recent偏高，同时migrations_recent和migration_rate_recent为0，说明主要矛盾是资源/分配压力而非迁移过频；但运维指令要求优先抑制频繁迁移、保持稳定，因此本次适度提高lambda_migration并略提高lambda_resource、lambda_delay与lambda_balance，整体偏向稳定与迁移抑制。由于users_in_cooldown_ratio为0且当前并无迁移过密，cooldown_steps保持不变，migrate_threshold仅小幅上调以避免过度触发迁移。                                                                                       , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.021126760563380278, 0.7394366197183098, 0.18309859154929575, 0.05633802816901408 ,             0.97 ,             16
llm_cost_aware_openrouter,   76, openrouter, openai/gpt-5.4-mini, False        , 近期平均时延较高但迁移率为0、每用户迁移次数为0，且运维指令明确要求抑制频繁迁移、保持稳定；因此本次主要增强迁移抑制，适度提高lambda_migration并小幅提高lambda_delay与lambda_resource以兼顾时延和资源压力。当前失败分配率较高、最大节点负载偏高，说明需要保留一定资源约束，但由于迁移抑制已较强且冷却占比为0，不宜继续大幅提高cooldown_steps；阈值仅小幅上调以减少不必要迁移，同时避免过度锁死迁移空间。                                                                                                                          , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.022058823529411766, 0.7720588235294118, 0.16176470588235292, 0.044117647058823525,             0.985,             16
llm_cost_aware_openrouter,   81, openrouter, openai/gpt-5.4-mini, False        , 近期平均时延较高且失败分配率偏高，但迁移率与每用户迁移次数均为0，说明当前更需要抑制频繁迁移并保持稳定有序；同时最大节点负载较高，适度提高资源约束项以缓解拥塞，但不宜放松迁移抑制。结合运维指令，本次调参总体偏向增强迁移抑制，略微抬高阈值与冷却步数，避免在网络波动较强时引发额外震荡。                                                                                                                                                                                                                                       , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.025               , 0.7666666666666667, 0.16666666666666669, 0.04166666666666667 ,             0.995,             17
llm_cost_aware_openrouter,   86, openrouter, openai/gpt-5.4-mini, False        , 当前平均时延较高且失败分配率偏高，但迁移率、历史迁移次数均为0，说明主要问题是资源/容量压力而非迁移过频；同时运维指令要求优先抑制频繁迁移、保持稳定。故适度提高lambda_migration以增强迁移抑制，同时小幅提高lambda_delay和lambda_resource以兼顾时延与分配失败，略微提高lambda_balance以缓解节点负载不均。由于users_in_cooldown_ratio为0且迁移本就很少，不进一步增加cooldown_steps，仅轻微上调migrate_threshold以保持稳定并避免过度触发迁移。                                                                                      , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.02459016393442623 , 0.7540983606557378, 0.18032786885245902, 0.04098360655737705 ,             0.998,             17
llm_cost_aware_openrouter,   91, openrouter, openai/gpt-5.4-mini, False        , 当前迁移率为0且每用户平均迁移次数为0，说明系统已处于强抑制状态；同时平均时延较高、失败分配率偏高，且节点3负载已满、整体负载不均衡，表明问题主要来自资源紧张与局部拥塞而非迁移过频。结合运维指令强调抑制频繁迁移、保持稳定，本次上调lambda_migration以强化稳定性，适度提高lambda_delay、lambda_resource和lambda_balance以兼顾时延、资源压力与负载均衡；migrate_threshold和cooldown_steps仅小幅上调，避免在高失败分配背景下进一步压制必要迁移空间。                                                                               , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.02337228714524207 , 0.7512520868113522, 0.18363939899833057, 0.04173622704507513 ,             0.999,             18
llm_cost_aware_openrouter,   96, openrouter, openai/gpt-5.4-mini, False        , 当前迁移率和每用户平均迁移次数均为0，且冷却占比为0，但最近平均时延较高、失败分配率偏高，说明主要矛盾是资源压力与时延，而不是迁移过频。结合运维指令要求优先抑制频繁迁移、保持稳定，本次上调lambda_migration以增强迁移抑制，同时适度提高lambda_resource和lambda_balance以缓解满载节点与负载不均。由于migration_rate_recent不高且failed_allocation_rate_recent较高，不继续提高migrate_threshold或cooldown_steps，保持现有稳定策略不变。                                                                                            , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.01408450704225352 , 0.7198748043818467, 0.21909233176838813, 0.046948356807511735,             0.999,             18
